,CosZ,cfsirs,codsirs,year,month,day,hour,min,cfXL,codXL,cbase,ctop,cfopaquetsky,cfthintsky,cldthick,cftottsky,times
91,0.130874,-9999.99,-9999.99,2014,2,24,10,45,0.9955555556,4.8283222746,460.83333333,597.28167725,-9999.99,-9999.99,136.44834391,-9999.99,1393249500.0
92,0.135138,-9999.99,-9999.99,2014,2,24,10,46,0.9958071279,5.3129586362,457.5,614.76957194,-9999.99,-9999.99,157.26957194,-9999.99,1393249560.0
93,0.1394,-9999.99,-9999.99,2014,2,24,10,47,0.996039604,5.7397495324,457.5,619.76611328,-9999.99,-9999.99,162.26611328,-9999.99,1393249620.0
94,0.14365899999999998,-9999.99,-9999.99,2014,2,24,10,48,0.9962476548,6.0487666747,440.0,637.25400798,-9999.99,-9999.99,197.25400798,-9999.99,1393249680.0
95,0.14791500000000002,-9999.99,-9999.99,2014,2,24,10,49,0.9946619217,6.2390635536,441.66666667,632.25746663,-9999.99,-9999.99,190.59079997,-9999.99,1393249740.0
96,0.152169,-9999.99,-9999.99,2014,2,24,10,50,0.9949152542,6.3155355863,453.33333333,632.25746663,-9999.99,-9999.99,178.92413330000002,-9999.99,1393249800.0
97,0.156421,-9999.99,-9999.99,2014,2,24,10,51,0.9951534733,6.3042611614999995,444.16666667,619.76611328,-9999.99,-9999.99,175.59944661,-9999.99,1393249860.0
98,0.160669,-9999.99,-9999.99,2014,2,24,10,52,0.9953775039,6.180344896699999,447.5,622.26438395,-9999.99,-9999.99,174.76438395,-9999.99,1393249920.0
99,0.164915,-9999.99,-9999.99,2014,2,24,10,53,0.9955752212000001,5.957329456599999,465.0,632.25746663,-9999.99,-9999.99,167.25746663,-9999.99,1393249980.0
100,0.169158,-9999.99,-9999.99,2014,2,24,10,54,0.9957627119,5.5299583214,478.33333333,614.76957194,-9999.99,-9999.99,136.43623861,-9999.99,1393250040.0
101,0.173397,-9999.99,-9999.99,2014,2,24,10,55,0.9959349593000001,4.9982715372,467.5,664.73498535,-9999.99,-9999.99,197.23498535,-9999.99,1393250100.0
102,0.177634,-9999.99,-9999.99,2014,2,24,10,56,0.9947984395,4.4252180845,480.0,604.77648926,-9999.99,-9999.99,124.77648926,-9999.99,1393250160.0
103,0.181867,-9999.99,-9999.99,2014,2,24,10,57,0.9949937422,4.0494999056,472.5,612.27130127,-9999.99,-9999.99,139.77130127,-9999.99,1393250220.0
104,0.186097,-9999.99,-9999.99,2014,2,24,10,58,0.9951807229,3.9967153335,456.66666667,697.21250407,-9999.99,-9999.99,240.54583739999998,-9999.99,1393250280.0
105,0.190324,-9999.99,-9999.99,2014,2,24,10,59,0.9953542393000001,4.121267672,446.66666667,629.75919596,-9999.99,-9999.99,183.0925293,-9999.99,1393250340.0
106,0.194547,-9999.99,-9999.99,2014,2,24,11,0,0.9955207167,4.4029164158,440.0,551.63146973,-9999.99,-9999.99,111.63146973,-9999.99,1393250400.0
107,0.202983,1.0,7.21,2014,2,24,11,2,0.9958158995999999,4.9747624564,440.0,647.24709066,-9999.99,-9999.99,207.24709066,-9999.99,1393250520.0
108,0.207195,1.0,7.33,2014,2,24,11,3,0.995951417,5.0289039957999995,434.16666667,634.7557373,-9999.99,-9999.99,200.58907064,-9999.99,1393250580.0
109,0.211404,1.0,7.32,2014,2,24,11,4,0.9950980392000001,5.1317322893,435.0,679.72460938,-9999.99,-9999.99,244.72460938,-9999.99,1393250640.0
110,0.215608,1.0,7.13,2014,2,24,11,5,0.9952471482999999,5.1288619145,437.5,654.74190267,-9999.99,-9999.99,217.24190267,-9999.99,1393250700.0
111,0.219809,1.0,6.72,2014,2,24,11,6,0.9953874539,4.902817004,435.83333333,669.73152669,-9999.99,-9999.99,233.89819336,-9999.99,1393250760.0
112,0.22400599999999998,1.0,6.45,2014,2,24,11,7,0.9955237243,4.6209359181,430.83333333,687.21942139,-9999.99,-9999.99,256.38608805,-9999.99,1393250820.0
113,0.22819899999999999,1.0,6.69,2014,2,24,11,8,0.9956521739,4.7619177914,437.5,649.74536133,-9999.99,-9999.99,212.24536133,-9999.99,1393250880.0
114,0.232388,1.0,7.38,2014,2,24,11,9,0.9957734573,5.472497091699999,438.33333333,662.23671468,-9999.99,-9999.99,223.90338135,-9999.99,1393250940.0
