SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,5,5.5,3232.259,241.97995,224.1538391,0.235192301494412,0.217866221175502
GOES13,3.9,6,water,50,10,5,6.0,3232.259,234.1347809,214.8370209,0.227567192983389,0.208810743996244
GOES13,3.9,6,water,50,10,5,6.5,3232.259,225.8025208,206.7853546,0.219468656598168,0.200984930626327
GOES13,3.9,6,water,50,10,5,7.0,3232.259,216.7801361,199.7098236,0.210699353924285,0.194107871513846
GOES13,3.9,6,water,50,10,5,7.5,3232.259,207.1045532,193.3119659,0.201295175559297,0.187889476654699
GOES13,3.9,6,water,50,10,5,8.0,3232.259,196.9630127,187.3312836,0.191438109918553,0.182076555234375
GOES13,3.9,6,water,50,10,5,8.5,3232.259,186.6024933,181.5765686,0.181368207836321,0.176483262627717
GOES13,3.9,6,water,50,10,5,9.0,3232.259,176.2672272,175.9333649,0.171322850687449,0.170998353377985
GOES13,3.9,6,water,50,10,5,9.5,3232.259,166.1637878,170.3520966,0.161502817393387,0.165573642211895
GOES13,3.9,6,water,50,10,5,10.0,3232.259,156.4497375,164.8280487,0.1520612506566,0.16020454638736
GOES13,3.9,6,water,50,10,5,10.5,3232.259,147.2332001,159.3848114,0.14310324135494,0.154913994388455
GOES13,3.9,6,water,50,10,5,11.0,3232.259,138.5792542,154.0533142,0.134692042603848,0.149732048128532
GOES13,3.9,6,water,50,10,5,11.5,3232.259,130.5190277,148.8651276,0.126857909151464,0.144689392540594
GOES13,3.9,6,water,50,10,5,12.0,3232.259,123.0559616,143.8437805,0.11960418547616,0.139808896528212
GOES13,3.9,6,water,50,10,5,12.5,3232.259,116.175972,139.0059967,0.112917182737786,0.135106814781132
GOES13,3.9,6,water,50,10,5,13.0,3232.259,109.8507385,134.3574524,0.106769374936542,0.130588664279342
GOES13,3.9,6,water,50,10,5,13.5,3232.259,104.0445023,129.8974915,0.101126006323159,0.126253807326747
GOES13,3.9,6,water,50,10,5,14.0,3232.259,98.71687317,125.6192169,0.095947819632099,0.122095540290163
GOES13,3.9,6,water,50,10,5,14.5,3232.259,93.82631683,121.5120697,0.091194445638953,0.118103600451576
GOES13,3.9,6,water,50,10,5,15.0,3232.259,89.33187866,117.5654221,0.086826078519584,0.114267658125646
GOES13,3.9,6,water,50,10,5,15.5,3232.259,85.19351196,113.7619553,0.082803794902281,0.110570880312651
GOES13,3.9,6,water,50,10,5,16.0,3232.259,81.37572479,110.0916367,0.079093098412228,0.10700351583162
GOES13,3.9,6,water,50,10,5,16.5,3232.259,77.84426117,106.5426254,0.075660693965365,0.103554055925224
GOES13,3.9,6,water,50,10,5,17.0,3232.259,74.56918335,103.1045685,0.072477483579302,0.100212438097054
GOES13,3.9,6,water,50,10,5,17.5,3232.259,71.52384186,99.76979065,0.069517565313886,0.096971202294195
GOES13,3.9,6,water,50,10,5,18.0,3232.259,68.68399048,96.53170776,0.0667573730667,0.093823949113389
GOES13,3.9,6,water,50,10,5,18.5,3232.259,66.02919769,93.38552856,0.064177048431247,0.090766021681956
GOES13,3.9,6,water,50,10,5,19.0,3232.259,63.54083633,90.32769775,0.0617584867479,0.08779396442769
GOES13,3.9,6,water,50,10,5,19.5,3232.259,61.2027359,87.35575104,0.059485971106597,0.084905382185055
GOES13,3.9,6,water,50,10,5,20.0,3232.259,59.00092316,84.46740723,0.057345920223123,0.082098057742757
