CloudFraction,Count,Time
0.34409356725146195,171.0,2014-09-03 17:01:43.681926000
0.5911304347826087,230.0,2014-09-04 16:06:39.124046000
0.8330555555555555,432.0,2014-09-05 04:26:25.054300000
0.03096345514950166,301.0,2014-09-05 16:49:29.006174000
0.9793288590604027,149.0,2014-09-06 05:09:15.155452000
0.9533834586466164,133.0,2014-09-06 15:54:25.238536000
1.0,274.0,2014-09-07 04:14:10.223624000
0.7883588621444201,457.0,2014-09-07 16:37:14.291774000
0.9925291828793774,257.0,2014-09-08 04:57:00.806518000
1.0,158.0,2014-09-09 04:01:55.165589000
0.5870484581497797,454.0,2014-09-09 16:24:59.562265000
1.0,1.0,2014-09-09 16:25:09.030280000
0.5683495145631068,412.0,2014-09-10 04:44:45.994986000
0.4951515151515152,132.0,2014-09-10 17:07:49.981821000
0.09570957095709572,303.0,2014-09-11 16:12:44.826185000
0.19698744769874477,478.0,2014-09-12 04:32:30.835123000
0.996017316017316,231.0,2014-09-12 16:55:34.501634000
1.0,109.0,2014-09-13 05:15:19.869140000
0.5828571428571429,175.0,2014-09-13 16:00:29.935530000
1.0,25.0,2014-09-14 04:20:07.325999000
1.0,330.0,2014-09-14 04:20:15.761822000
0.6098191214470284,387.0,2014-09-14 16:43:18.941193000
0.8227083333333333,192.0,2014-09-15 05:03:04.896108000
0.0925,48.0,2014-09-15 15:48:14.481289000
0.9828571428571429,210.0,2014-09-16 04:07:59.373294000
0.6308641975308642,486.0,2014-09-16 16:31:03.198714000
1.0,331.0,2014-09-17 04:50:49.494814000
0.9266666666666667,18.0,2014-09-17 17:13:53.188051000
0.8716666666666667,120.0,2014-09-18 03:55:42.924002000
0.32952879581151834,382.0,2014-09-18 16:18:47.449175000
1.0,473.0,2014-09-19 04:38:33.544476000
0.10788571428571428,175.0,2014-09-19 17:01:37.055631000
0.7831304347826087,230.0,2014-09-20 16:06:31.630647000
0.6278703703703704,432.0,2014-09-21 04:26:17.192864000
0.10578947368421053,304.0,2014-09-21 16:49:20.637409000
0.31724137931034485,145.0,2014-09-22 05:09:06.239407000
0.6538345864661654,133.0,2014-09-22 15:54:15.717177000
0.12102941176470589,272.0,2014-09-23 04:14:00.579560000
0.6819340659340659,455.0,2014-09-23 16:37:04.142599000
0.5447843137254902,255.0,2014-09-24 04:56:50.190253000
1.0,157.0,2014-09-25 04:01:44.603407000
0.4644736842105263,456.0,2014-09-25 16:24:49.940376000
0.2806746987951807,415.0,2014-09-26 04:44:37.152632000
0.36179104477611945,134.0,2014-09-26 17:07:41.953656000
0.0039603960396039604,303.0,2014-09-27 16:12:38.163236000
0.019047619047619046,483.0,2014-09-28 04:32:25.035163000
0.13617391304347826,230.0,2014-09-28 16:55:29.479298000
0.008,10.0,2014-09-29 05:15:08.009756000
0.17674418604651163,172.0,2014-09-29 16:00:26.383485000
